Name;Passport;City from;City to;Date from;Date to;Train;Seat;Cost;Card
Игнатьев Станислав Юриевич;8811270310;Волгоград;Новосибирск;2023-09-02 03:00:00;2023-09-06 14:00:00;456;5-50;6104;2195390337759127
Райзулина Вера Романовна;9076735030;Челябинск;Санкт-Петербург;2024-01-19 22:00:00;2024-01-21 16:00:00;328;9-58;4805;4377735290368736
Сиволдаева Виктория Ивановна;6718638185;Казань;Екатеринбург;2024-03-01 17:00:00;2024-03-04 14:00:00;289;6-16;6070;2195390370594917
Бурачкова Елена Ивановна;4411116920;Ростов-на-Дону;Омск;2024-04-01 13:00:00;2024-04-02 16:00:00;228;6-63;3062;2216248995515800
Басторина Ольга Кирилловна;8970532709;Волгоград;Новосибирск;2023-09-02 03:00:00;2023-09-06 14:00:00;456;8-10;3652;5154294473831685
Турченков Валерий Игоревич;3895993467;Нижний Новгород;Челябинск;2023-09-06 18:00:00;2023-09-08 22:00:00;523;3-9;5149;5469354800319758
Тюричев Борис Алексиевич;6916826770;Волгоград;Новосибирск;2023-09-02 03:00:00;2023-09-06 14:00:00;456;4-2;4928;4377737131748770
Лупоносов Тарас Иванович;8461422343;Воронеж;Краснодар;2023-12-31 12:00:00;2024-01-05 08:00:00;557;3-34;3876;2195391065519672
Калонин Денис Романович;2083732132;Екатеринбург;Воронеж;2024-01-14 13:00:00;2024-01-16 03:00:00;385;2-100;3048;2279018893772177
Костричкин Константин Иванович;8472706624;Краснодар;Москва;2024-04-09 20:00:00;2024-04-13 02:00:00;310;10-36;4290;4105847898954183
Грушанин Леонид Аркадиевич;4636317617;Нижний Новгород;Челябинск;2023-09-06 18:00:00;2023-09-08 22:00:00;523;9-37;3655;2279018925336007
Русланов Пётр Георгиевич;2513873952;Казань;Екатеринбург;2024-03-01 17:00:00;2024-03-04 14:00:00;289;10-63;4716;2216245947814328
Бурковская Катерина Дмитриевна;3798311322;Ростов-на-Дону;Казань;2023-11-19 21:00:00;2023-11-24 22:00:00;569;4-18;4613;4279663323936728
Корненкова Ирина Олеговна;6766578010;Нижний Новгород;Санкт-Петербург;2024-01-10 16:00:00;2024-01-17 10:00:00;399;5-34;4334;4377737057306117
Переудова Кира Евгеньевна;4410375526;Воронеж;Краснодар;2023-12-31 12:00:00;2024-01-05 08:00:00;557;6-88;3481;4377735410011578
Хусяиншина Кира Олеговна;9667168148;Санкт-Петербург;Челябинск;2023-06-13 06:00:00;2023-06-15 21:00:00;729;1-16;11386;2195396876684938
Ставенова Дарья Вадимовна;7634879743;Воронеж;Краснодар;2023-12-31 12:00:00;2024-01-05 08:00:00;557;6-12;5978;5154295526474511
Гудилова Анастасия Дмитриевна;9252698066;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;7-69;6164;2216244271194529
Литомин Григорий Виталиевич;4410119352;Екатеринбург;Воронеж;2024-01-14 13:00:00;2024-01-16 03:00:00;385;4-32;2055;4377733435696883
Нагиева Кристина Максимовна;2557001335;Краснодар;Москва;2024-04-09 20:00:00;2024-04-13 02:00:00;310;2-99;3201;5213247037789123
Пиндриков Руслан Валериевич;4230019719;Нижний Новгород;Челябинск;2023-09-06 18:00:00;2023-09-08 22:00:00;523;9-34;4356;4279666602429101
Большунов Геннадий Тимофеевич;4903134952;Волгоград;Новосибирск;2023-09-02 03:00:00;2023-09-06 14:00:00;456;3-96;3101;2279011536817981
Пигунов Георгий Виталиевич;4197394724;Волгоград;Нижний Новгород;2023-05-11 18:00:00;2023-05-12 20:00:00;104;2-91;2669;2195395972830853
Курмазов Николай Василиевич;4217775987;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;6-38;4200;2216240678196345
Сидорин Илья Фёдорович;4403741544;Санкт-Петербург;Челябинск;2023-06-13 06:00:00;2023-06-15 21:00:00;729;3-1;8702;2216240347386079
Секуторов Ярослав Леонидович;5642851642;Челябинск;Санкт-Петербург;2024-01-19 22:00:00;2024-01-21 16:00:00;328;9-41;3992;2216245998668403
Дреминов Валентин Фёдорович;5980089930;Казань;Екатеринбург;2024-03-01 17:00:00;2024-03-04 14:00:00;289;3-2;6013;2195393242608462
Напитухина Марина Богдановна;1039955810;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;9-52;6282;4279668807376507
Приленский Андрей Иванович;4416685356;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;3-34;4335;5154290416138593
Тренин Руслан Виталиевич;4001180916;Ростов-на-Дону;Омск;2024-04-01 13:00:00;2024-04-02 16:00:00;228;10-29;4919;5469355924042964
Кондрушина Екатерина Игоревна;2217629234;Казань;Екатеринбург;2024-03-01 17:00:00;2024-03-04 14:00:00;289;9-79;3414;5469350605292576
Мучков Яков Денисович;4451226725;Волгоград;Нижний Новгород;2023-05-11 18:00:00;2023-05-12 20:00:00;104;2-83;4158;2216249028926240
Торощина Людмила Богдановна;8595395441;Нижний Новгород;Санкт-Петербург;2024-01-10 16:00:00;2024-01-17 10:00:00;399;1-62;4310;5469355427667794
Барсегова Валерия Аркадьевна;6212699615;Пермь;Санкт-Петербург;2023-12-27 08:00:00;2024-01-02 07:00:00;401;2-12;2851;2216241878426581
Долгашева Софья Максимовна;2374222211;Краснодар;Москва;2024-04-09 20:00:00;2024-04-13 02:00:00;310;3-36;2323;4279666839167739
Свининых Вячеслав Яковлевич;6152936853;Воронеж;Краснодар;2023-12-31 12:00:00;2024-01-05 08:00:00;557;6-59;4004;2279015866880193
Яковицкая Яна Федоровна;5051674018;Волгоград;Новосибирск;2023-09-02 03:00:00;2023-09-06 14:00:00;456;3-2;6214;5154293232356112
Маряшина Клавдия Богдановна;6858665059;Воронеж;Краснодар;2023-12-31 12:00:00;2024-01-05 08:00:00;557;9-87;5912;5469358366048075
Дивлев Григорий Виталиевич;1003470837;Волгоград;Нижний Новгород;2023-05-11 18:00:00;2023-05-12 20:00:00;104;4-18;2645;5469353947237720
Венчааков Валентин Юрьевич;5246253142;Краснодар;Москва;2024-04-09 20:00:00;2024-04-13 02:00:00;310;3-79;3046;2195392925816732
Булавкин Пётр Николаевич;2223859007;Екатеринбург;Воронеж;2024-01-14 13:00:00;2024-01-16 03:00:00;385;3-40;4152;5213247758038985
Астафьев Иван Иванович;6751220983;Волгоград;Нижний Новгород;2023-05-11 18:00:00;2023-05-12 20:00:00;104;4-63;2202;4279665486001468
Маузаев Борис Викторович;1727373001;Челябинск;Санкт-Петербург;2024-01-19 22:00:00;2024-01-21 16:00:00;328;3-37;3879;5154291809752613
Иванов Иван Максимович;3109154484;Нижний Новгород;Челябинск;2023-09-06 18:00:00;2023-09-08 22:00:00;523;6-11;3262;2216240905019116
Цвеликов Дмитрий Юрьевич;6445874144;Волгоград;Новосибирск;2023-09-02 03:00:00;2023-09-06 14:00:00;456;9-45;5195;5154292938585755
Левтева Раиса Николаевна;1572311685;Нижний Новгород;Челябинск;2023-09-06 18:00:00;2023-09-08 22:00:00;523;4-100;5027;2195396085761064
Абрютин Руслан Георгиевич;2356005056;Волгоград;Новосибирск;2023-09-02 03:00:00;2023-09-06 14:00:00;456;7-23;4818;5213249535274573
Дуников Евгений Юриевич;2156043979;Казань;Екатеринбург;2024-03-01 17:00:00;2024-03-04 14:00:00;289;3-25;3177;4377730017864045
Амитрова Елизавета Сергеевна;3805422621;Волгоград;Нижний Новгород;2023-05-11 18:00:00;2023-05-12 20:00:00;104;8-91;4508;4377732732278152
Кроликова Александра Аркадьевна;1262224550;Москва;Пермь;2023-10-26 08:00:00;2023-10-29 10:00:00;197;3-80;5955;5213245908260414
Жолудева Дарья Яковлевна;1455536697;Ростов-на-Дону;Казань;2023-11-19 21:00:00;2023-11-24 22:00:00;569;8-11;3005;5469353390490275
Герайкин Вадим Аркадиевич;6423059198;Нижний Новгород;Челябинск;2023-09-06 18:00:00;2023-09-08 22:00:00;523;5-92;5686;4377737719605899
Красовских Валерия Егоровна;3648036612;Казань;Екатеринбург;2024-03-01 17:00:00;2024-03-04 14:00:00;289;2-43;3780;2216243570692830
Пикулева Софья Кирилловна;4940686300;Волгоград;Нижний Новгород;2023-05-11 18:00:00;2023-05-12 20:00:00;104;8-32;4312;5469350384394434
Ленухова Виолетта Николаевна;3378566940;Волгоград;Нижний Новгород;2023-05-11 18:00:00;2023-05-12 20:00:00;104;9-29;4363;4279667478631917
Никерина Наталия Никитична;6609112202;Краснодар;Москва;2024-04-09 20:00:00;2024-04-13 02:00:00;310;9-20;2595;2195397649450482
Колбиев Герасим Яковлевич;4290553536;Воронеж;Краснодар;2023-12-31 12:00:00;2024-01-05 08:00:00;557;5-82;4180;2216248171875649
Кочубаев Михаил Алексеевич;4458433168;Краснодар;Москва;2024-04-09 20:00:00;2024-04-13 02:00:00;310;6-97;4123;4279667848882845
Капитайкин Андрей Адамович;3462177272;Нижний Новгород;Санкт-Петербург;2024-01-10 16:00:00;2024-01-17 10:00:00;399;8-14;2271;4377736188673381
Ожин Григорий Адамович;1597730161;Челябинск;Санкт-Петербург;2024-01-19 22:00:00;2024-01-21 16:00:00;328;7-25;4821;2279014700323138
Рекунина Александра Олеговна;5267193624;Краснодар;Москва;2024-04-09 20:00:00;2024-04-13 02:00:00;310;5-86;3775;5469357975174904
Жемальтина Алёна Ивановна;5252531462;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;4-12;5032;2279016147316237
Циброва Дарья Эдуардовна;6644982883;Казань;Екатеринбург;2024-03-01 17:00:00;2024-03-04 14:00:00;289;2-80;4718;5469354494740537
Антимиров Артур Данилович;7482949331;Ростов-на-Дону;Омск;2024-04-01 13:00:00;2024-04-02 16:00:00;228;3-52;4451;4377739126189918
Боднева Алиса Петровна;1595383205;Нижний Новгород;Челябинск;2023-09-06 18:00:00;2023-09-08 22:00:00;523;3-2;6435;5213248756712730
Ципалина Вера Богдановна;7377602476;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;6-11;3089;2279010811312184
Велданов Федор Борисович;2683629849;Пермь;Санкт-Петербург;2023-12-27 08:00:00;2024-01-02 07:00:00;401;10-73;3897;2279014453859570
Голямина Елена Аркадьевна;3546104496;Воронеж;Краснодар;2023-12-31 12:00:00;2024-01-05 08:00:00;557;6-57;3284;5469356731091540
Костева Валентина Егоровна;5486454056;Санкт-Петербург;Челябинск;2023-06-13 06:00:00;2023-06-15 21:00:00;729;3-74;12756;5154298479554607
Бящяров Семён Кириллович;4336489224;Воронеж;Краснодар;2023-12-31 12:00:00;2024-01-05 08:00:00;557;1-22;4621;4279664259663660
Тарантын Алексей Яковлевич;2354612979;Волгоград;Новосибирск;2023-09-02 03:00:00;2023-09-06 14:00:00;456;7-62;4437;2279015504632441
Рысаков Роман Юриевич;7931101103;Воронеж;Краснодар;2023-12-31 12:00:00;2024-01-05 08:00:00;557;6-91;5231;5213243121618300
Лаховская Любовь Сергеевна;9119409138;Челябинск;Санкт-Петербург;2024-01-19 22:00:00;2024-01-21 16:00:00;328;7-57;4654;2279012671131468
Винецкая Екатерина Дмитриевна;3240030336;Москва;Пермь;2023-10-26 08:00:00;2023-10-29 10:00:00;197;9-8;4081;5469354403852666
Тованенков Николай Михаилович;7416498174;Нижний Новгород;Санкт-Петербург;2024-01-10 16:00:00;2024-01-17 10:00:00;399;7-43;2175;2279019602878021
Шубенкова Карина Михайловна;9451411958;Ростов-на-Дону;Казань;2023-11-19 21:00:00;2023-11-24 22:00:00;569;7-57;5566;5469352798248725
Доренькова Софья Федоровна;7651957621;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;4-51;4326;4377732032461498
Скромнов Никита Борисович;2981040788;Пермь;Санкт-Петербург;2023-12-27 08:00:00;2024-01-02 07:00:00;401;9-8;4263;2195398317587644
Новолаев Альберт Денисович;3757844271;Волгоград;Нижний Новгород;2023-05-11 18:00:00;2023-05-12 20:00:00;104;2-43;2042;4279660597532261
Дубикова Юлия Кирилловна;4408005631;Москва;Пермь;2023-10-26 08:00:00;2023-10-29 10:00:00;197;1-94;4948;5154294034807921
Веденякин Виталий Антонович;1468935498;Екатеринбург;Воронеж;2024-01-14 13:00:00;2024-01-16 03:00:00;385;7-11;4582;5469350495104534
Клунохина Полина Валерьевна;3027078674;Челябинск;Санкт-Петербург;2024-01-19 22:00:00;2024-01-21 16:00:00;328;4-99;2408;2195398313039418
Карабинцев Анатолий Виталиевич;4663517069;Нижний Новгород;Челябинск;2023-09-06 18:00:00;2023-09-08 22:00:00;523;9-15;5751;4279666008196302
Безгодова Марина Леонидовна;7029000374;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;2-87;3885;4279663359768994
Командаков Аркадий Вадимович;1249636552;Санкт-Петербург;Челябинск;2023-06-13 06:00:00;2023-06-15 21:00:00;729;9-98;13651;4377732256783066
Гумичев Павел Леонидович;6045516946;Пермь;Санкт-Петербург;2023-12-27 08:00:00;2024-01-02 07:00:00;401;3-10;4467;5213242496170034
Исполнева Александра Ивановна;6365489751;Нижний Новгород;Санкт-Петербург;2024-01-10 16:00:00;2024-01-17 10:00:00;399;3-51;2056;5213241631238204
Иванюгин Павел Георгиевич;2930450622;Ростов-на-Дону;Казань;2023-11-19 21:00:00;2023-11-24 22:00:00;569;3-46;3452;2279012142762832
Шебатинова Александра Эдуардовна;1049409732;Ростов-на-Дону;Омск;2024-04-01 13:00:00;2024-04-02 16:00:00;228;7-20;4634;5154296931584972
Журацева Валентина Валерьевна;5030546159;Пермь;Санкт-Петербург;2023-12-27 08:00:00;2024-01-02 07:00:00;401;8-88;2626;2195393439945766
Мовчиков Виталий Денисович;4348159907;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;8-84;3288;5154298536499765
Малярова Тамара Яковлевна;3721864895;Пермь;Санкт-Петербург;2023-12-27 08:00:00;2024-01-02 07:00:00;401;4-75;3723;2195395088190620
Полозников Владимир Андреевич;8231661383;Ростов-на-Дону;Омск;2024-04-01 13:00:00;2024-04-02 16:00:00;228;7-81;5154;2216242512308731
Озимова Софья Никитична;6205514909;Казань;Екатеринбург;2024-03-01 17:00:00;2024-03-04 14:00:00;289;3-27;5549;2216247068575782
Левневская Надежда Андреевна;5734351139;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;9-72;4276;4377734442225043
Дмитрин Борис Виталиевич;1237010443;Краснодар;Омск;2023-09-28 03:00:00;2023-09-29 06:00:00;246;4-93;6008;5469359693905566
